;Date_from;1970-01-01;Date_until;2020-01-01; 
;Namn;Antal;total inkospkostnad;total forsaljningintakt;total vinst pa vara; 
;Bitburger;65;780.0;975.0;195.0;
;Melleru;5;70.0;100.0;30.0;
;Mellerud;112;1512.0;1680.0;168.0;
;Lindemans apple;44;814.0;880.0;66.0;
;Falt tire;8;84.0;104.0;20.0;
;Twisted tistle;5;94.5;100.0;5.5;
;Marke;3;60.0;60.0;0.0;
;twisted tistle;75;1417.5;1500.0;82.5;
;falt tire;22;231.0;286.0;55.0;
;Midvinterblot;3;900.0;900.0;0.0;
;Total inkopskostnad:;5963.0;Omsattning:;6585.0;Vinst;622.0;